shoulder_angle,elbow_angle,measured_z_cm,measured_y_px
113,124,61.97,-231
113,125,62.95,-209
113,126,62.95,-209
113,127,62.95,-208
113,128,63.95,-113
113,129,63.95,-119
113,130,62.95,-43
113,131,33.94,-115
113,132,62.95,-31
113,133,32.16,-68
113,134,61.97,56
113,135,61.97,133
113,136,61.03,128
113,137,61.97,128
113,138,34.31,57
113,139,60.099999999999994,225
113,140,61.03,230
113,141,33.21,139
113,142,61.97,256
113,143,61.97,256
113,144,64.97,295
113,145,66.03,295
113,146,32.16,210
113,147,32.5,239
113,151,32.85,270
113,152,32.85,270
113,153,32.85,270
113,154,32.85,270
113,155,32.85,270
113,156,32.85,270
113,157,32.5,270
113,158,32.85,270
113,159,32.85,270
112,70,33.57,241
112,71,66.03,-128
112,119,73.01,-301
112,120,68.23,-267
112,121,68.23,-271
112,122,67.11,-256
112,123,63.95,-236
112,124,63.95,-221
112,125,61.97,-204
112,126,61.97,-201
112,127,35.07,-174
112,128,61.97,-98
112,129,61.97,-99
112,130,32.5,-106
112,131,57.459999999999994,-3
112,132,59.2,3
112,133,31.82,-37
112,134,32.16,-37
112,135,61.03,154
112,136,61.97,165
112,137,61.97,212
112,138,59.2,225
112,139,60.099999999999994,224
112,140,31.82,145
112,141,31.479999999999997,148
112,142,30.83,147
112,143,32.16,197
112,148,31.479999999999997,262
112,149,33.57,289
112,150,33.21,287
112,152,32.85,286
112,153,33.21,285
112,154,32.85,286
112,155,33.21,285
112,156,32.85,286
112,158,32.85,286
112,159,32.85,286
111,70,34.31,254
111,124,74.3,-308
111,125,74.3,-309
111,126,67.11,-267
111,127,68.23,-269
111,128,68.23,-268
111,129,61.97,-225
111,130,62.95,-222
111,131,61.03,-189
111,132,61.03,-182
111,133,61.97,-118
111,134,61.97,-117
111,135,62.95,-84
111,136,61.97,-43
111,137,61.97,-43
111,138,61.97,59
111,139,61.97,46
111,140,61.97,47
111,141,61.97,129
111,142,61.97,133
111,143,61.97,167
111,144,61.97,209
111,145,59.2,237
111,146,60.099999999999994,236
111,147,62.95,277
111,148,63.95,277
111,150,67.11,300
111,151,67.11,300
111,152,66.03,299
111,153,66.03,299
111,154,66.03,300
111,155,66.03,300
111,156,67.11,300
111,157,67.11,300
111,158,66.03,299
111,159,66.03,300
110,70,23.82,52
110,124,69.37,-283
110,125,67.11,-279
110,126,56.629999999999995,-253
110,127,63.95,-253
110,128,61.03,-222
110,129,61.97,-223
110,130,59.2,-174
110,131,61.97,-178
110,132,60.099999999999994,-99
110,133,59.2,-85
110,134,56.629999999999995,-77
110,135,61.03,4
110,136,61.03,8
110,137,61.97,8
110,138,61.97,90
110,139,61.97,134
110,140,55.81,141
110,141,59.2,182
110,142,61.03,215
110,143,52.730000000000004,214
110,144,61.03,239
110,145,60.099999999999994,241
110,146,62.95,274
109,122,126.93,-333
109,123,68.23,-284
109,124,67.11,-285
109,125,66.03,-258
109,126,67.11,-261
109,127,66.03,-260
109,128,63.95,-231
109,129,62.95,-229
109,130,59.2,-190
109,131,61.03,-156
109,132,59.2,-131
109,133,61.97,-90
109,134,60.099999999999994,-56
109,135,61.97,12
109,136,61.03,24
109,137,61.03,24
109,138,61.03,112
109,139,61.03,115
109,140,61.03,191
109,141,61.03,190
109,142,61.03,195
109,143,61.03,230
109,144,60.099999999999994,236
109,145,61.03,240
109,146,62.95,269
109,147,67.11,299
109,148,67.11,302
109,149,67.11,303
109,150,71.76,330
109,151,73.01,331
109,152,71.76,331
109,153,71.76,331
109,154,71.76,331
109,155,73.01,331
109,156,71.76,331
109,157,71.76,331
109,158,73.01,331
109,159,71.76,331
108,70,73.01,331
108,71,75.63,-294
108,123,67.11,-269
108,124,66.03,-271
108,125,63.95,-245
108,126,62.95,-230
108,127,62.95,-226
108,128,59.2,-199
108,129,58.31999999999999,-199
108,130,61.03,-122
108,131,59.2,-99
108,132,58.31999999999999,-98
108,133,59.2,-65
108,134,59.2,-63
108,135,59.2,18
108,136,60.099999999999994,97
108,137,59.2,86
108,138,59.2,86
108,139,59.2,199
108,140,59.2,199
108,141,59.2,200
108,142,59.2,241
108,143,59.2,241
108,144,59.2,241
108,145,64.97,282
108,146,64.97,282
108,147,68.23,322
107,131,62.95,-282
107,132,61.97,-281
107,133,61.03,-259
107,134,57.459999999999994,-225
107,135,56.629999999999995,-225
107,136,55.010000000000005,-193
107,137,55.81,-195
107,138,55.81,-174
107,139,55.81,-139
107,140,55.81,-55
107,141,55.81,-62
107,142,55.81,-63
107,143,55.81,43
107,144,55.81,37
107,145,55.81,92
107,146,55.81,93
107,147,55.010000000000005,168
107,148,55.81,165
107,149,55.010000000000005,200
107,150,54.230000000000004,201
107,151,54.230000000000004,200
107,152,55.010000000000005,201
107,153,54.230000000000004,201
107,154,54.230000000000004,201
107,155,55.010000000000005,201
107,156,54.230000000000004,201
107,157,54.230000000000004,201
107,158,55.010000000000005,201
107,159,54.230000000000004,201
106,70,55.010000000000005,185
106,119,104.24,-330
106,120,70.55,-293
106,121,68.23,-286
106,122,62.95,-282
106,123,63.95,-237
106,124,58.31999999999999,-224
106,125,66.03,-228
106,126,68.23,-185
106,127,68.23,-195
106,128,68.23,-132
106,129,69.37,-134
106,130,66.03,-64
106,131,67.11,-52
106,132,68.23,8
106,134,55.81,-217
106,135,55.81,-214
106,136,53.47,-175
106,137,53.47,-168
106,138,52.0,-168
106,139,55.010000000000005,-70
106,140,44.4,-70
106,141,53.47,-31
106,142,52.730000000000004,-23
106,143,56.629999999999995,-24
106,144,54.230000000000004,49
106,145,55.010000000000005,113
106,146,53.47,110
106,147,52.0,181
106,148,54.230000000000004,180
106,149,53.47,205
106,150,45.54,209
106,151,55.81,210
106,152,52.0,203
106,153,55.81,210
106,154,51.29,203
106,156,52.0,205
106,157,52.730000000000004,207
106,158,55.010000000000005,210
106,159,52.0,206
105,128,64.97,-318
105,129,55.81,-280
105,131,58.31999999999999,-248
105,132,59.2,-252
105,133,55.010000000000005,-214
105,134,55.010000000000005,-216
105,135,51.29,-175
105,136,53.47,-177
105,137,55.81,-112
105,138,55.010000000000005,-112
105,139,55.81,-42
105,140,55.81,-41
105,141,55.81,13
105,142,55.010000000000005,6
105,143,54.230000000000004,83
105,144,44.96,79
105,145,55.010000000000005,142
105,146,48.6,147
105,147,50.59,193
105,148,55.81,196
105,149,50.59,219
105,150,49.91,227
105,151,53.47,222
105,152,49.91,220
105,153,39.32,228
105,154,49.91,217
105,155,45.54,227
105,156,49.91,220
105,159,53.47,223
104,131,58.31999999999999,-254
104,132,58.31999999999999,-251
104,133,55.010000000000005,-219
104,134,55.81,-194
104,135,46.12,-194
104,136,49.25,-155
104,137,42.77,-147
104,138,54.230000000000004,-87
104,139,54.230000000000004,-31
104,140,54.230000000000004,-38
104,141,52.0,13
104,142,54.230000000000004,8
104,143,57.459999999999994,90
104,144,52.0,83
104,145,53.47,151
104,146,54.230000000000004,145
104,147,55.010000000000005,197
104,148,55.81,200
104,151,53.47,227
104,153,54.230000000000004,225
104,154,55.010000000000005,229
104,155,55.010000000000005,228
104,156,51.29,227
104,157,55.010000000000005,228
104,159,49.91,229
103,130,59.2,-270
103,132,57.459999999999994,-228
103,133,56.629999999999995,-222
103,134,54.230000000000004,-184
103,135,52.0,-182
103,137,55.81,-118
103,138,54.230000000000004,-126
103,140,54.230000000000004,8
103,141,55.81,13
103,142,44.4,81
103,143,53.47,77
103,144,53.47,140
103,145,38.86,139
103,146,47.33,182
103,147,49.91,193
103,148,45.54,224
103,149,51.29,226
103,152,43.84,252
103,155,55.010000000000005,250
103,157,48.6,254
103,158,51.29,246
103,159,49.25,252
102,128,59.2,-271
102,130,54.230000000000004,-233
102,131,57.459999999999994,-236
102,132,45.54,-201
102,133,53.47,-187
102,134,55.010000000000005,-191
102,135,45.54,-106
102,136,52.0,-111
102,137,49.91,-107
102,138,54.230000000000004,-19
102,139,54.230000000000004,-22
102,140,51.29,54
102,141,47.96,61
102,142,55.81,62
102,143,52.0,142
102,144,49.25,153
102,145,51.29,192
102,146,52.0,194
102,147,55.010000000000005,229
102,151,53.47,251
102,152,57.459999999999994,257
102,155,56.629999999999995,256
102,156,51.29,251
102,157,51.29,257
102,158,52.0,251
102,159,56.629999999999995,258
101,126,61.03,-286
101,127,58.31999999999999,-282
101,128,49.91,-250
101,129,56.629999999999995,-242
101,130,56.629999999999995,-216
101,131,55.81,-215
101,132,52.0,-184
101,133,53.47,-182
101,134,55.81,-130
101,135,43.84,-125
101,136,54.230000000000004,-58
101,137,55.010000000000005,-53
101,138,53.47,9
101,139,54.230000000000004,17
101,140,54.230000000000004,84
101,141,51.29,100
101,142,51.29,91
101,143,46.12,177
101,144,53.47,178
101,145,51.29,204
101,146,44.96,208
101,148,52.730000000000004,244
101,151,52.730000000000004,268
101,152,18.96,223
101,153,51.29,264
101,158,44.4,275
101,159,46.72,265
100,124,57.459999999999994,-310
100,125,59.2,-286
100,127,58.31999999999999,-252
100,128,56.629999999999995,-250
100,130,55.010000000000005,-215
100,131,43.3,-184
100,132,53.47,-169
100,133,52.730000000000004,-162
100,134,53.47,-98
100,135,44.96,-89
100,136,53.47,-20
100,137,52.0,-12
100,138,53.47,47
100,139,50.59,57
100,140,53.47,118
100,141,42.77,124
100,143,48.6,179
100,144,49.91,212
100,145,50.59,206
100,146,54.230000000000004,248
100,147,48.6,242
